Index,City,Time,Temp,Humidity,Rainfall
1,Bangalore,0:00,18,20,31
3,Bangalore,0:20,19,20,21
9,Bangalore,3:10,19,20,21
10,Bangalore,3:32,26,22,15
15,Bangalore,10:10,21,36,30
34,Bangalore,15:33,25,51,20
38,Bangalore,18:10,28,81,15
42,Bangalore,21:10,23,33,15
46,Bangalore,23:10,20,28,21
49,Bangalore,23:30,20,32,31
7,Delhi,2:30,27,56,20
13,Delhi,9:09,32,21,30
19,Delhi,11:11,29,24,25
20,Delhi,11:16,31,44,30
23,Delhi,12:11,30,23,20
24,Delhi,12:11,30,23,20
33,Delhi,14:30,32,50,40
44,Delhi,22:10,26,66,20
48,Delhi,23:25,27,22,11
50,Delhi,23:59,22,80,96
11,Kolkata,8:09,27,55,25
16,Kolkata,10:10,26,50,70
17,Kolkata,10:39,28,25,30
18,Kolkata,11:00,28,27,36
21,Kolkata,12:10,27,87,15
22,Kolkata,12:10,32,40,60
32,Kolkata,14:10,29,41,15
35,Kolkata,15:50,30,90,95
41,Kolkata,21:00,26,28,38
47,Kolkata,23:11,31,91,20
2,Mumbai,0:10,20,50,65
8,Mumbai,3:00,19,32,40
12,Mumbai,9:00,21,29,35
14,Mumbai,10:05,23,30,35
26,Mumbai,12:30,26,22,30
28,Mumbai,13:00,25,31,31
31,Mumbai,13:45,29,20,25
40,Mumbai,19:35,21,40,50
43,Mumbai,22:00,21,50,55
45,Mumbai,23:05,21,32,38
4,Pune,1:41,22,23,30
5,Pune,1:41,22,23,30
6,Pune,2:00,21,30,45
25,Pune,12:19,25,23,20
27,Pune,12:45,21,45,55
29,Pune,13:30,31,55,44
30,Pune,13:45,22,34,25
36,Pune,17:00,25,25,21
37,Pune,17:13,28,32,25
39,Pune,18:29,29,20,25
